#{"t_start": 1759152640.693453, "env_id": "CartPole-v1"}
r,l,t
282.0,282,46.499362
247.0,247,47.001331
186.0,186,47.355596
293.0,293,47.892449
289.0,289,48.45719
174.0,174,48.774737
254.0,254,49.266874
281.0,281,49.822658
112.0,112,52.38699
436.0,436,53.26696
480.0,480,54.204291
239.0,239,54.661654
500.0,500,55.601033
29.0,29,55.654837
500.0,500,58.944817
466.0,466,59.816767
325.0,325,60.425227
232.0,232,60.866835
245.0,245,61.334782
275.0,275,61.899477
