epoch,train_loss,train_acc,val_loss,val_acc
1,0.20995694415171942,0.93615,0.05271319225430489,0.9816
2,0.0835952538361152,0.9760333333333333,0.035737716546282175,0.9886
3,0.0659759582657367,0.9805666666666667,0.03751936117187142,0.9873
4,0.05524672108590603,0.9839833333333333,0.030549530661664902,0.9897
5,0.04775033003234615,0.9857,0.032795829023234545,0.9888
